Source_Sheet,Word,Severity Level (1–5),Group Description,Context,Word / Phrase
Pre-Watershed,Arse,1.0,Higher Acceptability,Pre-Watershed,
Pre-Watershed,Breasts,1.0,Higher Acceptability,Pre-Watershed,
Pre-Watershed,Bum,1.0,Higher Acceptability,Pre-Watershed,
Pre-Watershed,Damn,1.0,Higher Acceptability,Pre-Watershed,
Pre-Watershed,Tits,1.0,Higher Acceptability,Pre-Watershed,
Pre-Watershed,Bloody,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Bollocks,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Bugger,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Crap,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Goddamn,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Piss/Pissed,2.0,Higher acceptability to some / Medium to others,Pre-Watershed,
Pre-Watershed,Bitch,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Bastard,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Dick,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Wanker,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Shag,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Slag,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Shit,3.0,Medium Acceptability,Pre-Watershed,
Pre-Watershed,Cock,4.0,Medium acceptability to some / Lower to others,Pre-Watershed,
Pre-Watershed,Twat,4.0,Medium acceptability to some / Lower to others,Pre-Watershed,
Pre-Watershed,Pussy,5.0,Lower Acceptability,Pre-Watershed,
Pre-Watershed,Fuck,5.0,Lower Acceptability,Pre-Watershed,
Pre-Watershed,Motherfucker,5.0,Lower Acceptability,Pre-Watershed,
Pre-Watershed,Cunt,5.0,Lower Acceptability,Pre-Watershed,
Pre-Watershed,Source: Ofcom Offensive Language Study | iheartbritain.com | Pre-9pm broadcast standards,,,,
Post-Watershed,Bitch,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Bloody,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Bollocks,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Crap,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Slag,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Shit,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Dick,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Bugger,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Goddamn,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Wanker,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Piss/Pissed,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Shag,1.0,Higher Acceptability,Post-Watershed,
Post-Watershed,Cock,2.0,Higher acceptability to some / Medium to others,Post-Watershed,
Post-Watershed,Twat,2.0,Higher acceptability to some / Medium to others,Post-Watershed,
Post-Watershed,Bastard,2.0,Higher acceptability to some / Medium to others,Post-Watershed,
Post-Watershed,Pussy,3.0,Medium Acceptability,Post-Watershed,
Post-Watershed,Fuck,4.0,Medium acceptability to some / Lower to others,Post-Watershed,
Post-Watershed,Cunt,5.0,Lower Acceptability,Post-Watershed,
Post-Watershed,Motherfucker,5.0,Lower Acceptability,Post-Watershed,
Post-Watershed,Source: Ofcom Offensive Language Study | iheartbritain.com | Post-9pm broadcast standards,,,,
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Nutter
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Looney
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Mental
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Lezza
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Poof
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Queer
Discriminatory Language,,1.0,Well known / Socially acceptable (general UK),,Jesus Christ
Discriminatory Language,,2.0,Less well known / Acceptable to those who knew them,,Homo
Discriminatory Language,,2.0,Less well known / Acceptable to those who knew them,,Gender-bender
Discriminatory Language,,2.0,Less well known / Acceptable to those who knew them,,Chick with a dick
Discriminatory Language,,2.0,Less well known / Acceptable to those who knew them,,Tranny
Discriminatory Language,,3.0,Well known / Less socially acceptable (general UK),,N*gger
Discriminatory Language,,3.0,Well known / Less socially acceptable (general UK),,P*ki
Discriminatory Language,,3.0,Well known / Less socially acceptable (general UK),,Spastic
